table,format,size (MB),query,time (seconds),comment
CLUSTERED BY carrier,ORC,118,2,106,MR DEFAULT
CLUSTERED BY carrier,ORC,118,3,152,MR DEFAULT
CLUSTERED BY carrier,ORC,118,4,87,MR DEFAULT
CLUSTERED BY carrier,ORC,118,1,58,MR WITH INDEX
CLUSTERED BY carrier,ORC,118,2,107,MR WITH INDEX
CLUSTERED BY carrier,ORC,118,3,144,MR WITH INDEX
CLUSTERED BY carrier,ORC,118,4,90,MR WITH INDEX
CLUSTERED BY carrier,ORC,118,1,41,TEZ
CLUSTERED BY carrier,ORC,118,2,8,TEZ
CLUSTERED BY carrier,ORC,118,3,14,TEZ
CLUSTERED BY carrier,ORC,118,4,8,TEZ
CLUSTERED BY carrier,ORC,118,1,75,MR WITH VECTORIZATION
CLUSTERED BY carrier,ORC,118,2,140,MR WITH VECTORIZATION
CLUSTERED BY carrier,ORC,118,3,162,MR WITH VECTORIZATION
CLUSTERED BY carrier,ORC,118,4,83,MR WITH VECTORIZATION
CLUSTERED BY carrier,PARQUET,141,1,71,MR DEFAULT
CLUSTERED BY carrier,PARQUET,141,2,163,MR DEFAULT
CLUSTERED BY carrier,PARQUET,141,3,211,MR DEFAULT
CLUSTERED BY carrier,PARQUET,141,4,103,MR DEFAULT
CLUSTERED BY carrier,PARQUET,141,1,79,MR WITH INDEX
CLUSTERED BY carrier,PARQUET,141,2,139,MR WITH INDEX
CLUSTERED BY carrier,PARQUET,141,3,175,MR WITH INDEX
CLUSTERED BY carrier,PARQUET,141,4,135,MR WITH INDEX
CLUSTERED BY carrier,PARQUET,141,1,98,TEZ
CLUSTERED BY carrier,PARQUET,141,2,18,TEZ
CLUSTERED BY carrier,PARQUET,141,3,15,TEZ
CLUSTERED BY carrier,PARQUET,141,4,7,TEZ
CLUSTERED BY carrier,PARQUET,141,1,81,MR WITH VECTORIZATION
CLUSTERED BY carrier,PARQUET,141,2,120,MR WITH VECTORIZATION
CLUSTERED BY carrier,PARQUET,141,3,173,MR WITH VECTORIZATION
CLUSTERED BY carrier,PARQUET,141,4,92,MR WITH VECTORIZATION
PARTITIONED BY month CLUSTERED BY carrier,TEXTFORMAT,1052,1,434,MR DEFAULT
PARTITIONED BY month CLUSTERED BY carrier,TEXTFORMAT,1052,2,140,MR DEFAULT
PARTITIONED BY month CLUSTERED BY carrier,TEXTFORMAT,1052,3,233,MR DEFAULT
